Name,Meaning
Aarav,Peaceful
Aakesh,Lord of the sky another name for shiva
Aaron,Exalted enlightened
Aarush,First ray of the Sun
Aayan,Gift of God
Abdullah,Servant of Allah
Adam,First man created by Allah
Aditya,Sun god
Advik,Unique
Aidan,Fiery
Alexander,Defender of mankind
Ali,Exalted noble
Amin,Trustworthy
Amir,Prince leader
Anant,Endless eternal
Aniket,Unparalleled
Ansh,Part of
Arjun,White clear bright
Arnav,Ocean
Aryan,Noble
Asher,Fortunate blessed
Atharv,Knowledge of magic formulas
Ayaan,Gift of God
Ayush,Long life
Azaan,Call to prayer
Benjamin,Son of the right hand
Bodhi,Enlightenment
Caleb,Faithful devoted
Daksh,Skilled competent
Daniel,God is my judge
David,Beloved
Devansh,Part of God
Dhruv,Pole star constant
Eason,God is my strength
Eli,Ascended elevated
Elijah,Yahweh is God
Emerson,Brave powerful
Ethan,Firm strong
Evan,God is gracious
Ezra,Help
Gabriel,God is my strength
Grayson,Son of the gray-haired one
Hadi,Guide leader
Hamza,Lion
Harish,Lord of monkeys
Hassan,Handsome good
Henry,Estate ruler
Ibrahim,Father of many
Idris,Interpreter studious
Isaac,Laughter
Isaiah,Salvation of the Lord
Ishaan,Sun
Jack,God is gracious
Jacob,Supplanter
Jaden,God has heard
Jaiden,Thankful
James,Supplanter
Jason,Healer
Jasper,Treasurer
Jatin,Ascetic
Jay,Victory
Jayden,Thankful
John,God is gracious
Joseph,He will add
Joshua,Yahweh is salvation
Kabir,Great
Karan,Helper
Kayden,Companion
Kevin,Handsome beloved
Kiaan,Grace of God
Krish,Lord Krishna
Krishna,Dark one
Kush,Son of Rama
Levi,Joined attached
Liam,Resolute protection
Logan,Little hollow
Lucas,Bringer of light
Luke,Light giving
Mason,Stone worker
Matthew,Gift of God
Michael,Who is like God
Mohammad,Praiseworthy
Nathan,Gift
Neil,Champion
Nicholas,Victory of the people
Noah,Rest comfort
Oliver,Olive tree
Om,Sacred sound
Oscar,Divine spear
Owen,Young warrior
Parker,Park keeper
Pranav,Sacred sound Om
Raghav,Descendant of Raghu
Rahul,Efficient
Raj,King ruler
Rayan,Little prince
Rehan,Sweet-smelling
Rishi,Sage seer
River,Stream of water
Robert,Bright fame
Rohan,Ascending
Ryan,Little king
Sai,Saint
Samuel,Name of God
Sanjay,Victorious
Samar,Evening conversation
Shlok,Verse
Shaurya,Valor
Shiv,Lord Shiva
Siddharth,One who has accomplished a goal
Simon,He has heard
Soham,That I am
Tanay,Son
Theodore,Gift of God
Thomas,Twin
Varun,God of water
Ved,Knowledge
Veer,Brave
Vihaan,Dawn
Vikram,Valorous
Vivaan,Full of life
William,Resolute protection
Yash,Glory fame
Yuvaan,Young
Zain,Beauty grace
Zayn,Beauty
Zion,Highest point
Abel,Breath or son
Abner,Father of light
Abraham,Father of many
Adrian,From Hadria (northern Italy)
Alan,Handsome or cheerful
Alistair,Defender of mankind
Ambrose,Immortal
Amos,Carried by God
Andrew,Manly or brave
Angus,One strength
Anthony,Priceless one
Augustin,Great or magnificent
Barnabas,Son of encouragement
Bartholomew,Son of Talmai
Benedict,Blessed
Cedric,Kindly and loved
Charles,Free man
Christian,Follower of Christ
Christopher,Christ-bearer
Clarence,Bright or clear
Clement,Merciful or gentle
Cletus,Called forth
Cornelius,Horn
Cyril,Lordly
Declan,Full of goodness
Dominic,Belonging to the Lord
Duncan,Dark warrior
Dustin,Brave warrior
Elisha,God is salvation
Emmanuel,God is with us
Enoch,Dedicated
Ephraim,Fruitful
Ezekiel,God strengthens
Felix,Happy or fortunate
Francis,Free man
Gavin,White hawk
George,Farmer
Gerald,Rule of the spear
Gideon,Feller or hewer
Gilbert,Bright pledge
Gregory,Watchful or alert
Harold,Army ruler
Hugo,Mind or intellect
Ian,God is gracious
Jared,Descent
Jeremy,Appointed by God
Jesse,Gift
Joel,Yahweh is God
Jonathan,Gift of God
Jordan,To flow down
Josiah,God supports
Jude,Praise
Julian,Youthful
Justin,Just or fair
Keith,Wood or forest
Kenneth,Handsome
Lancelot,Servant
Lawrence,Laurel-crowned
Leander,Lion man
Leo,Lion
Leonard,Brave lion
Louis,Famous warrior
Malcolm,Devotee of St. Columba
Mark,Warlike
Martin,Warlike
Miles,Soldier
Nathaniel,Gift of God
Noel,Christmas
Patrick,Nobleman
Paul,Small
Peter,Rock
Philip,Lover of horses
Quentin,Fifth
Raphael,God has healed
Raymond,Wise protector
Reuben,Behold a son
Richard,Strong ruler
Roger,Famous spear
Roland,Famous land
Roman,Citizen of Rome
Rupert,Bright fame
Sebastian,Venerable
Seth,Appointed
Silas,Wood or forest
Solomon,Peace
Stephen,Crown
Sylvester,Of the forest
Timothy,Honoring God
Tobias,God is good
Trevor,Large village
Tristan,Noise or sorrowful
Victor,Conqueror
Vincent,Conquering
Walter,Ruler of the army
Zachary,Remembered by God
Aadhav,The Sun
Aadhi,Beginning
Aadhiran,Sun
Aadin,First
Aakash,Sky
Aanand,Happiness
Aanjaneya,Another name for Lord Hanuman
Aarnav,Ocean
Aathi,Beginning
Abhay,Fearless
Achintya,Incomprehensible
Achyut,Imperishable
Adarsh,Ideal
Advaita,Non-duality
Agastya,Name of a sage
Aghil,Valuable
Ahilan,Beloved
Ajay,Unconquerable
Ajith,Invincible
Akash,Sky
Akshaj,God of protection
Alagan,Beautiful man
Amaran,Immortal
Amrit,Nectar
Anirudh,Uncontrolled
Anish,Supreme
Ankit,Marked
Ankur,Sprout
Annamalai,Unreachable
Anoop,Incomparable
Arun,Sun
Aswin,Horse tamer
Athish,King
Avinash,Indestructible
Bala,Young
Balaji,Young Lord
Bharat,India
Bharath,India
Bhaskar,Sun
Bhaumik,Son of earth
Bhavan,House
Bhuvan,World
Bijoy,Victory
Brahma,Creator
Chaitanya,Consciousness
Chakra,Wheel
Chandan,Sandalwood
Chandra,Moon
Chirag,Lamp
Daiwik,Divine
Darshan,Vision
Deva,God
Dhanush,Bow
Dinesh,Sun God
Divij,Born of heaven
Ekansh,One part
Ezhil,Beauty
Gagan,Sky
Ganesh,Lord of Ganas
Gautam,Best cow
Girish,Lord of mountains
Gopal,Protector of cows
Gopinath,Lord of Gopis
Goutham,Best cow
Gurucharan,At the feet of Guru
Haran,Deer
Hariharan,Another name for Lord Vishnu
Harivansh,Part of Lord Vishnu
Hemant,Winter
Hitesh,Lord of good
Idhant,Desired one
Indrajit,Conqueror of Indra
Inesh,Lord of power
Jai,Victory
Jaidev,Victory of Gods
Jayant,Victorious
Jeeva,Life
Jitesh,Lord of victory
Kailash,Mountain where Lord Shiva resides
Kalyan,Welfare
Karthik,Son of Lord Shiva
Kavin,Poet
Keshav,Having long hair
Kishore,Young boy
Kumar,Prince
Lakshman,Lucky
Lohit,Red
Madhav,Sweet
Mahendra,Great Indra
Manas,Mind
Manikandan,One who wears earrings
Manish,Intellectual
Manoj,Born of mind
Mihir,Sun
Milan,Meeting
Mohit,Attractive
Mukund,Liberator
Nachiketa,Seeker of self-knowledge
Nalan,Tongue
Nalin,Lotus
Narayan,Another name for Lord Vishnu
Neel,Blue
Neelaksh,Blue-eyed
Neeraj,Water born
Nihal,Joyful
Nikhil,Complete
Nilan,Moon
Nithin,Path
Nithya,Eternal
Ojas,Vigor
Omkar,Form of Om
Palash,Flame of the forest
Parth,Son of Pritha
Prabhas,Radiance
Prajwal,Bright flame
Pralay,Destruction
Prasad,Divine gift
Pratap,Valor
Prithvi,Earth
Purab,East
Rajan,King
Rajiv,Lotus
Rakshan,Protection
Ram,Pleasing
Ranvir,Warrior
Ravi,Sun
Reyansh,Ray of light
Riaan,Little king
Ritvik,Priest
Rudra,Fierce
Samarth,Capable
Samesh,Lord of equality
Samir,Wind
Santosh,Contentment
Sarang,Peacock
Sarvesh,Lord of all
Satvik,Pure
Shaan,Pride
Shankar,Beneficial
Shiva,Auspicious
